Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000144935	7220	TRPC1	protein_coding	HGNC Symbol	5	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	0.05	-0.16	0.27	0.60	0.80	-0.26	-0.46	-0.06	0.01	0.04	0.60	0.36	0.83	0.00	0.00	0.28	0.11	0.45	0.00	0.00	
ENSG00000144959	57552	NCEH1	protein_coding	HGNC Symbol	6	neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]	0.28	0.02	0.54	0.04	0.17	-0.31	-0.56	-0.07	0.01	0.04	0.54	0.25	0.83	0.00	0.00	-0.05	-0.27	0.16	0.60	0.65	
ENSG00000145012	4026	LPP	protein_coding	HGNC Symbol	22	LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]	-0.23	-0.67	0.22	0.30	0.56	0.67	0.21	1.12	0.01	0.02	-0.52	-1.04	-0.01	0.05	0.07	0.37	0.00	0.75	0.05	0.07	
ENSG00000145014	93109	TMEM44	protein_coding	HGNC Symbol	14	transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]	-0.34	-0.58	-0.09	0.01	0.06	-0.24	-0.47	-0.01	0.04	0.08	0.44	0.17	0.70	0.00	0.00	0.53	0.33	0.74	0.00	0.00	
ENSG00000145016	9711	RUBCN	protein_coding	HGNC Symbol	10	RUN and cysteine rich domain containing beclin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:28991]	-0.18	-0.39	0.02	0.07	0.24	0.39	0.17	0.62	0.00	0.00	-0.75	-1.00	-0.51	0.00	0.00	-0.17	-0.35	0.00	0.05	0.07	
ENSG00000145020	275	AMT	protein_coding	HGNC Symbol	57	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	0.17	-0.05	0.38	0.12	0.33	-0.04	-0.26	0.18	0.73	0.81	-0.07	-0.32	0.18	0.56	0.63	-0.28	-0.46	-0.10	0.00	0.01	
ENSG00000145022	6988	TCTA	protein_coding	HGNC Symbol	6	T-cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692]	0.33	-0.08	0.74	0.11	0.32	-0.10	-0.42	0.23	0.54	0.65	1.28	0.85	1.71	0.00	0.00	0.85	0.55	1.15	0.00	0.00	
ENSG00000145029	84276	NICN1	protein_coding	HGNC Symbol	8	nicolin 1 [Source:HGNC Symbol;Acc:HGNC:18317]	0.02	-0.22	0.25	0.89	0.96	0.13	-0.06	0.33	0.18	0.28	0.86	0.61	1.12	0.00	0.00	0.98	0.80	1.16	0.00	0.00	
ENSG00000145041	9730	DCAF1	protein_coding	HGNC Symbol	3	DDB1 and CUL4 associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30911]	-0.10	-0.26	0.07	0.24	0.50	0.01	-0.16	0.18	0.89	0.93	-0.48	-0.67	-0.28	0.00	0.00	-0.37	-0.51	-0.23	0.00	0.00	
ENSG00000145050	7873	MANF	protein_coding	HGNC Symbol	4	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	-0.14	-0.50	0.22	0.45	0.69	-0.27	-0.64	0.10	0.14	0.24	-0.06	-0.48	0.35	0.76	0.81	-0.20	-0.51	0.11	0.19	0.24	
ENSG00000145075	339829	CCDC39	protein_coding	HGNC Symbol	7	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	0.53	0.08	0.98	0.02	0.12	-0.67	-1.09	-0.25	0.00	0.01	0.78	0.28	1.28	0.00	0.01	-0.42	-0.79	-0.05	0.03	0.04	
ENSG00000145075	101928882	CCDC39	protein_coding	HGNC Symbol	7	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	0.53	0.08	0.98	0.02	0.12	-0.67	-1.09	-0.25	0.00	0.01	0.78	0.28	1.28	0.00	0.01	-0.42	-0.79	-0.05	0.03	0.04	
ENSG00000145087	9515	STXBP5L	protein_coding	HGNC Symbol	8	syntaxin binding protein 5 like [Source:HGNC Symbol;Acc:HGNC:30757]	0.24	-0.11	0.59	0.17	0.41	0.55	0.20	0.90	0.00	0.01	-0.06	-0.47	0.35	0.77	0.81	0.25	-0.03	0.53	0.08	0.10	
ENSG00000145088	55840	EAF2	protein_coding	HGNC Symbol	5	ELL associated factor 2 [Source:HGNC Symbol;Acc:HGNC:23115]	-0.01	-0.30	0.28	0.96	0.98	-0.03	-0.42	0.36	0.88	0.92	-1.31	-1.71	-0.92	0.00	0.00	-1.34	-1.63	-1.05	0.00	0.00	
ENSG00000145103	286676	ILDR1	protein_coding	HGNC Symbol	5	immunoglobulin like domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:28741]	0.45	0.06	0.84	0.03	0.13	-1.26	-2.35	-0.16	0.03	0.06	-4.08	-4.94	-3.21	0.00	0.00	-5.78	-6.56	-4.99	0.00	0.00	
ENSG00000145147	9353	SLIT2	protein_coding	HGNC Symbol	12	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	0.21	-0.22	0.63	0.32	0.58	1.21	0.72	1.70	0.00	0.00	-0.98	-1.53	-0.43	0.00	0.00	0.03	-0.32	0.38	0.87	0.89	
ENSG00000145191	8893	EIF2B5	protein_coding	HGNC Symbol	16	eukaryotic translation initiation factor 2B subunit epsilon [Source:HGNC Symbol;Acc:HGNC:3261]	-0.09	-0.24	0.05	0.19	0.44	0.44	0.29	0.59	0.00	0.00	-0.53	-0.70	-0.37	0.00	0.00	0.00	-0.12	0.12	0.99	0.99	
ENSG00000145194	110599583	ECE2	protein_coding	HGNC Symbol	11	endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]	0.19	-0.06	0.43	0.14	0.36	-0.91	-1.23	-0.58	0.00	0.00	-0.73	-1.05	-0.42	0.00	0.00	-1.82	-2.08	-1.57	0.00	0.00	
ENSG00000145194	110599564	ECE2	protein_coding	HGNC Symbol	11	endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]	0.19	-0.06	0.43	0.14	0.36	-0.91	-1.23	-0.58	0.00	0.00	-0.73	-1.05	-0.42	0.00	0.00	-1.82	-2.08	-1.57	0.00	0.00	
ENSG00000145194	9718	ECE2	protein_coding	HGNC Symbol	11	endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]	0.19	-0.06	0.43	0.14	0.36	-0.91	-1.23	-0.58	0.00	0.00	-0.73	-1.05	-0.42	0.00	0.00	-1.82	-2.08	-1.57	0.00	0.00	
ENSG00000145198	90113	VWA5B2	protein_coding	HGNC Symbol	6	von Willebrand factor A domain containing 5B2 [Source:HGNC Symbol;Acc:HGNC:25144]	0.05	-0.35	0.46	0.79	0.91	-0.28	-0.75	0.19	0.23	0.34	-0.47	-0.96	0.03	0.06	0.09	-0.80	-1.18	-0.43	0.00	0.00	
ENSG00000145214	1609	DGKQ	protein_coding	HGNC Symbol	5	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	-1.11	-1.33	-0.89	0.00	0.00	-0.75	-0.99	-0.52	0.00	0.00	-0.53	-0.77	-0.29	0.00	0.00	-0.17	-0.38	0.04	0.10	0.13	
ENSG00000145216	81608	FIP1L1	protein_coding	HGNC Symbol	13	factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]	-0.04	-0.16	0.09	0.55	0.76	0.04	-0.09	0.16	0.53	0.65	0.33	0.18	0.47	0.00	0.00	0.40	0.30	0.50	0.00	0.00	
ENSG00000145217	10861	SLC26A1	protein_coding	HGNC Symbol	5	solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]	-1.16	-1.66	-0.67	0.00	0.00	0.71	0.22	1.21	0.01	0.02	-0.64	-1.19	-0.08	0.03	0.04	1.24	0.81	1.67	0.00	0.00	
ENSG00000145220	55646	LYAR	protein_coding	HGNC Symbol	4	Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]	-0.07	-0.26	0.11	0.41	0.66	0.03	-0.17	0.24	0.73	0.81	-0.81	-1.03	-0.59	0.00	0.00	-0.70	-0.86	-0.54	0.00	0.00	
ENSG00000145241	1060	CENPC	protein_coding	HGNC Symbol	7	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]	0.04	-0.20	0.27	0.74	0.88	-0.02	-0.25	0.20	0.85	0.90	0.44	0.18	0.71	0.00	0.00	0.38	0.19	0.58	0.00	0.00	
ENSG00000145246	57205	ATP10D	protein_coding	HGNC Symbol	7	ATPase phospholipid transporting 10D (putative) [Source:HGNC Symbol;Acc:HGNC:13549]	1.06	0.68	1.43	0.00	0.00	1.52	1.17	1.87	0.00	0.00	0.25	-0.20	0.70	0.27	0.34	0.71	0.46	0.96	0.00	0.00	
ENSG00000145247	132299	OCIAD2	protein_coding	HGNC Symbol	10	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]	0.10	-0.28	0.49	0.58	0.79	-0.18	-0.63	0.28	0.43	0.55	-0.95	-1.43	-0.48	0.00	0.00	-1.24	-1.59	-0.88	0.00	0.00	
ENSG00000145248	201780	SLC10A4	protein_coding	HGNC Symbol	1	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	0.42	-0.26	1.09	0.21	0.46	1.37	0.61	2.13	0.00	0.00	-0.72	-1.59	0.16	0.10	0.15	0.24	-0.28	0.75	0.35	0.41	
ENSG00000145284	79966	SCD5	protein_coding	HGNC Symbol	2	stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088]	-1.62	-2.52	-0.73	0.00	0.01	-1.25	-1.71	-0.78	0.00	0.00	2.94	2.24	3.65	0.00	0.00	3.32	2.60	4.04	0.00	0.00	
ENSG00000145293	58478	ENOPH1	protein_coding	HGNC Symbol	4	enolase-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:24599]	0.02	-0.15	0.19	0.81	0.92	-0.11	-0.28	0.07	0.23	0.34	-0.79	-0.99	-0.60	0.00	0.00	-0.92	-1.06	-0.78	0.00	0.00	
ENSG00000145309	85438	CABS1	protein_coding	HGNC Symbol	1	"calcium binding protein, spermatid associated 1 [Source:HGNC Symbol;Acc:HGNC:30710]"	1.64	0.05	3.23	0.04	0.18	-1.20	-2.00	-0.41	0.00	0.01	5.18	3.72	6.65	0.00	0.00	2.34	1.33	3.35	0.00	0.00	
ENSG00000145331	93587	TRMT10A	protein_coding	HGNC Symbol	7	tRNA methyltransferase 10A [Source:HGNC Symbol;Acc:HGNC:28403]	0.29	0.05	0.53	0.02	0.11	0.26	0.07	0.45	0.01	0.03	1.17	0.92	1.43	0.00	0.00	1.15	0.97	1.32	0.00	0.00	
ENSG00000145332	57563	KLHL8	protein_coding	HGNC Symbol	8	kelch like family member 8 [Source:HGNC Symbol;Acc:HGNC:18644]	0.12	-0.03	0.27	0.12	0.34	0.15	0.01	0.28	0.03	0.08	0.90	0.74	1.07	0.00	0.00	0.93	0.81	1.05	0.00	0.00	
ENSG00000145335	6622	SNCA	protein_coding	HGNC Symbol	13	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	0.78	0.47	1.09	0.00	0.00	0.42	0.15	0.69	0.00	0.01	0.81	0.46	1.15	0.00	0.00	0.45	0.23	0.67	0.00	0.00	
ENSG00000145348	93627	TBCK	protein_coding	HGNC Symbol	20	TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261]	-0.02	-0.19	0.14	0.76	0.89	-0.12	-0.26	0.03	0.11	0.20	1.09	0.91	1.27	0.00	0.00	1.00	0.87	1.13	0.00	0.00	
ENSG00000145349	817	CAMK2D	protein_coding	HGNC Symbol	14	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	-0.63	-0.93	-0.33	0.00	0.00	0.05	-0.23	0.33	0.72	0.80	0.70	0.37	1.02	0.00	0.00	1.38	1.13	1.63	0.00	0.00	
ENSG00000145354	493856	CISD2	protein_coding	HGNC Symbol	3	CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]	0.13	-0.16	0.42	0.36	0.62	-0.26	-0.53	0.00	0.05	0.11	0.72	0.40	1.04	0.00	0.00	0.33	0.09	0.56	0.01	0.01	
ENSG00000145358	115265	DDIT4L	protein_coding	HGNC Symbol	3	DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]	0.01	-0.40	0.43	0.95	0.98	2.24	1.77	2.72	0.00	0.00	-1.13	-1.68	-0.59	0.00	0.00	1.10	0.79	1.41	0.00	0.00	
ENSG00000145362	287	ANK2	protein_coding	HGNC Symbol	27	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	0.01	-0.40	0.42	0.97	0.99	0.08	-0.33	0.49	0.70	0.79	1.63	1.16	2.10	0.00	0.00	1.70	1.36	2.04	0.00	0.00	
ENSG00000145365	92610	TIFA	protein_coding	HGNC Symbol	2	TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075]	1.05	0.61	1.50	0.00	0.00	2.46	1.97	2.95	0.00	0.00	-0.66	-1.25	-0.06	0.03	0.05	0.76	0.46	1.05	0.00	0.00	
ENSG00000145375	166378	SPATA5	protein_coding	HGNC Symbol	2	spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]	0.11	-0.03	0.24	0.12	0.34	0.21	0.07	0.36	0.01	0.02	-0.41	-0.57	-0.25	0.00	0.00	-0.30	-0.42	-0.19	0.00	0.00	
ENSG00000145386	890	CCNA2	protein_coding	HGNC Symbol	2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	0.04	-0.11	0.20	0.57	0.78	0.15	-0.01	0.31	0.06	0.12	-0.33	-0.51	-0.15	0.00	0.00	-0.22	-0.36	-0.09	0.00	0.00	
ENSG00000145388	57721	METTL14	protein_coding	HGNC Symbol	6	methyltransferase like 14 [Source:HGNC Symbol;Acc:HGNC:29330]	0.02	-0.12	0.15	0.82	0.93	-0.12	-0.26	0.02	0.09	0.17	0.11	-0.05	0.27	0.17	0.23	-0.03	-0.14	0.09	0.66	0.70	
ENSG00000145390	54532	USP53	protein_coding	HGNC Symbol	9	ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]	-0.04	-0.29	0.21	0.76	0.90	0.08	-0.19	0.35	0.53	0.64	-0.46	-0.76	-0.16	0.00	0.01	-0.34	-0.56	-0.12	0.00	0.01	
ENSG00000145391	80854	SETD7	protein_coding	HGNC Symbol	7	SET domain containing lysine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:30412]	-0.08	-0.34	0.18	0.53	0.75	1.00	0.76	1.24	0.00	0.00	0.44	0.16	0.73	0.00	0.01	1.52	1.32	1.73	0.00	0.00	
ENSG00000145414	92345	NAF1	protein_coding	HGNC Symbol	6	nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]	0.00	-0.27	0.27	0.99	1.00	-0.02	-0.35	0.31	0.90	0.93	-0.93	-1.27	-0.58	0.00	0.00	-0.95	-1.20	-0.70	0.00	0.00	
ENSG00000145416	55016	1-Mar	protein_coding	HGNC Symbol	15	membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]	0.21	-0.21	0.64	0.31	0.57	0.14	-0.29	0.58	0.51	0.63	-0.03	-0.53	0.46	0.89	0.91	-0.11	-0.45	0.24	0.54	0.59	
ENSG00000145423	6423	SFRP2	protein_coding	HGNC Symbol	1	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	-0.02	-0.38	0.34	0.90	0.96	-0.76	-1.13	-0.39	0.00	0.00	-0.56	-0.98	-0.14	0.01	0.02	-1.29	-1.60	-0.99	0.00	0.00	
ENSG00000145425	6189	RPS3A	protein_coding	HGNC Symbol	14	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	0.14	-0.07	0.36	0.18	0.42	-0.12	-0.34	0.10	0.26	0.38	0.08	-0.17	0.32	0.52	0.59	-0.19	-0.36	-0.01	0.04	0.06	
ENSG00000145428	285533	RNF175	protein_coding	HGNC Symbol	9	ring finger protein 175 [Source:HGNC Symbol;Acc:HGNC:27735]	0.31	0.02	0.61	0.04	0.17	0.75	0.47	1.04	0.00	0.00	0.06	-0.28	0.41	0.72	0.77	0.50	0.28	0.72	0.00	0.00	
ENSG00000145431	56034	PDGFC	protein_coding	HGNC Symbol	9	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	-0.50	-0.85	-0.15	0.01	0.05	1.27	0.85	1.69	0.00	0.00	-1.31	-1.77	-0.85	0.00	0.00	0.46	0.16	0.76	0.00	0.01	
ENSG00000145439	84869	CBR4	protein_coding	HGNC Symbol	7	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	-0.13	-0.30	0.03	0.11	0.32	-0.18	-0.35	-0.01	0.04	0.09	-0.25	-0.45	-0.06	0.01	0.02	-0.30	-0.44	-0.16	0.00	0.00	
ENSG00000145476	285440	CYP4V2	protein_coding	HGNC Symbol	4	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	0.14	-0.27	0.56	0.48	0.72	0.75	0.36	1.14	0.00	0.00	0.19	-0.29	0.66	0.43	0.50	0.79	0.47	1.11	0.00	0.00	
ENSG00000145494	4726	NDUFS6	protein_coding	HGNC Symbol	3	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]	-0.29	-0.58	-0.01	0.04	0.18	-0.30	-0.60	-0.01	0.04	0.09	-0.55	-0.89	-0.22	0.00	0.00	-0.57	-0.81	-0.32	0.00	0.00	
ENSG00000145495	10299	6-Mar	protein_coding	HGNC Symbol	15	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	0.07	-0.13	0.27	0.50	0.73	-0.25	-0.46	-0.04	0.02	0.05	0.55	0.32	0.78	0.00	0.00	0.23	0.06	0.40	0.01	0.01	
ENSG00000145526	1016	CDH18	protein_coding	HGNC Symbol	12	cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]	0.57	-0.79	1.92	0.40	0.65	0.47	-0.35	1.29	0.25	0.37	2.48	1.15	3.81	0.00	0.00	2.38	1.52	3.25	0.00	0.00	
ENSG00000145536	170690	ADAMTS16	protein_coding	HGNC Symbol	4	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	-0.84	-1.25	-0.43	0.00	0.00	-1.74	-2.24	-1.24	0.00	0.00	-0.41	-0.87	0.05	0.08	0.12	-1.31	-1.76	-0.85	0.00	0.00	
ENSG00000145545	NA	SRD5A1	protein_coding	HGNC Symbol	4	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	0.02	-0.12	0.17	0.74	0.88	0.20	0.04	0.35	0.01	0.04	-0.37	-0.55	-0.20	0.00	0.00	-0.20	-0.32	-0.07	0.00	0.00	
ENSG00000145555	4651	MYO10	protein_coding	HGNC Symbol	12	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]	-0.29	-0.44	-0.13	0.00	0.01	0.03	-0.13	0.19	0.67	0.76	-0.39	-0.56	-0.21	0.00	0.00	-0.06	-0.19	0.07	0.32	0.37	
ENSG00000145569	54491	FAM105A	protein_coding	HGNC Symbol	3	family with sequence similarity 105 member A [Source:HGNC Symbol;Acc:HGNC:25629]	0.07	-0.19	0.34	0.56	0.77	0.66	0.40	0.92	0.00	0.00	-0.12	-0.43	0.18	0.42	0.49	0.47	0.26	0.67	0.00	0.00	
ENSG00000145592	6167	RPL37	protein_coding	HGNC Symbol	6	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	-0.08	-0.32	0.15	0.48	0.72	-0.58	-0.82	-0.33	0.00	0.00	0.57	0.30	0.85	0.00	0.00	0.08	-0.12	0.28	0.41	0.46	
ENSG00000145604	6502	SKP2	protein_coding	HGNC Symbol	9	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	0.22	0.02	0.42	0.03	0.15	0.07	-0.13	0.27	0.48	0.60	0.70	0.47	0.92	0.00	0.00	0.55	0.38	0.71	0.00	0.00	
ENSG00000145623	9180	OSMR	protein_coding	HGNC Symbol	5	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	1.19	0.69	1.68	0.00	0.00	1.35	0.72	1.99	0.00	0.00	-1.03	-1.74	-0.32	0.01	0.01	-0.86	-1.25	-0.48	0.00	0.00	
ENSG00000145626	133688	UGT3A1	protein_coding	HGNC Symbol	7	UDP glycosyltransferase family 3 member A1 [Source:HGNC Symbol;Acc:HGNC:26625]	0.86	0.51	1.21	0.00	0.00	0.57	-0.05	1.19	0.07	0.13	-2.31	-2.91	-1.71	0.00	0.00	-2.60	-2.98	-2.21	0.00	0.00	
ENSG00000145632	10769	PLK2	protein_coding	HGNC Symbol	15	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	-1.11	-1.72	-0.50	0.00	0.01	1.93	1.02	2.83	0.00	0.00	-2.83	-3.77	-1.90	0.00	0.00	0.21	-0.36	0.77	0.46	0.52	
ENSG00000145642	100132916	FAM159B	protein_coding	HGNC Symbol	5	family with sequence similarity 159 member B [Source:HGNC Symbol;Acc:HGNC:34236]	-0.40	-0.83	0.04	0.07	0.24	0.08	-0.43	0.59	0.76	0.84	-0.87	-1.41	-0.34	0.00	0.00	-0.40	-0.81	0.00	0.05	0.07	
ENSG00000145675	5295	PIK3R1	protein_coding	HGNC Symbol	16	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	-0.20	-0.46	0.05	0.12	0.32	-0.06	-0.32	0.20	0.63	0.73	0.01	-0.28	0.31	0.92	0.94	0.16	-0.06	0.38	0.15	0.19	
ENSG00000145681	1404	HAPLN1	protein_coding	HGNC Symbol	7	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	-1.15	-2.26	-0.03	0.04	0.18	-1.15	-2.29	-0.01	0.05	0.10	0.01	-1.15	1.17	0.99	0.99	0.01	-1.09	1.10	0.99	0.99	
ENSG00000145685	10184	LHFPL2	protein_coding	HGNC Symbol	8	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	-0.04	-0.21	0.12	0.59	0.80	-0.21	-0.38	-0.03	0.02	0.05	-0.58	-0.77	-0.39	0.00	0.00	-0.74	-0.89	-0.60	0.00	0.00	
ENSG00000145687	23635	SSBP2	protein_coding	HGNC Symbol	20	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	0.29	0.00	0.59	0.05	0.20	-0.45	-0.72	-0.19	0.00	0.01	2.29	1.97	2.61	0.00	0.00	1.54	1.31	1.77	0.00	0.00	
ENSG00000145692	635	BHMT	protein_coding	HGNC Symbol	6	betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047]	0.03	-1.21	1.26	0.97	0.99	-4.96	-5.72	-4.20	0.00	0.00	5.34	4.28	6.39	0.00	0.00	0.35	-0.65	1.35	0.48	0.53	
ENSG00000145700	256006	ANKRD31	protein_coding	HGNC Symbol	3	ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:26853]	0.65	-0.04	1.34	0.07	0.23	-0.56	-1.01	-0.11	0.02	0.04	2.34	1.66	3.03	0.00	0.00	1.13	0.66	1.60	0.00	0.00	
ENSG00000145703	10788	IQGAP2	protein_coding	HGNC Symbol	19	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	0.36	0.09	0.63	0.01	0.07	-0.54	-0.82	-0.26	0.00	0.00	-0.44	-0.76	-0.13	0.01	0.01	-1.34	-1.58	-1.11	0.00	0.00	
ENSG00000145715	5921	RASA1	protein_coding	HGNC Symbol	6	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	0.13	0.01	0.25	0.04	0.16	-0.13	-0.25	-0.01	0.03	0.07	0.30	0.16	0.43	0.00	0.00	0.03	-0.07	0.13	0.48	0.54	
ENSG00000145721	167410	LIX1	protein_coding	HGNC Symbol	2	limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]	3.05	0.70	5.40	0.01	0.08	2.12	1.71	2.53	0.00	0.00	9.14	6.92	11.36	0.00	0.00	8.21	7.32	9.09	0.00	0.00	
ENSG00000145723	54826	GIN1	protein_coding	HGNC Symbol	7	gypsy retrotransposon integrase 1 [Source:HGNC Symbol;Acc:HGNC:25959]	0.16	-0.07	0.38	0.16	0.40	-0.04	-0.24	0.17	0.72	0.80	0.62	0.38	0.87	0.00	0.00	0.43	0.25	0.61	0.00	0.00	
ENSG00000145725	23262	PPIP5K2	protein_coding	HGNC Symbol	17	diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035]	0.14	0.00	0.27	0.04	0.18	0.29	0.15	0.42	0.00	0.00	0.30	0.15	0.45	0.00	0.00	0.45	0.34	0.56	0.00	0.00	
ENSG00000145730	5066	PAM	protein_coding	HGNC Symbol	27	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	0.79	0.49	1.08	0.00	0.00	1.11	0.83	1.39	0.00	0.00	1.61	1.28	1.94	0.00	0.00	1.93	1.70	2.17	0.00	0.00	
ENSG00000145736	2966	GTF2H2	protein_coding	HGNC Symbol	14	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	0.26	-0.17	0.70	0.23	0.48	0.32	-0.11	0.75	0.13	0.23	0.13	-0.38	0.63	0.61	0.67	0.19	-0.16	0.53	0.28	0.33	
ENSG00000145740	64924	SLC30A5	protein_coding	HGNC Symbol	9	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	-0.15	-0.31	0.01	0.06	0.22	-0.11	-0.28	0.05	0.17	0.27	0.01	-0.17	0.19	0.90	0.92	0.05	-0.08	0.19	0.44	0.49	
ENSG00000145741	689	BTF3	protein_coding	HGNC Symbol	9	basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]	-0.11	-0.34	0.12	0.32	0.58	-0.71	-0.95	-0.47	0.00	0.00	-0.07	-0.33	0.20	0.61	0.67	-0.67	-0.86	-0.47	0.00	0.00	
ENSG00000145743	64839	FBXL17	protein_coding	HGNC Symbol	6	F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]	0.02	-0.24	0.27	0.88	0.95	0.15	-0.07	0.37	0.18	0.28	0.59	0.32	0.87	0.00	0.00	0.73	0.53	0.92	0.00	0.00	
